"source","term_name","term_id","highlighted","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"HPA","Soft tissue 1; fibroblasts[≥Medium]","HPA:0500652","false","4.073154375346463e-8","7.390069129543125","2724","26","22","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Endometrium 2; cells in endometrial stroma[≥Medium]","HPA:0170252","false","4.231519051564764e-8","7.37350369946086","1805","26","19","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF3,SRSF4,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Skin 2; vascular mural cells[≥Medium]","HPA:0471492","false","5.5942294480309345e-8","7.252259724955883","192","26","9","11007","SRSF3,SRSF6,HNRNPA1,HNRNPA2B1,HNRNPH1,HNRNPH2,HNRNPK,HNRNPM,HNRNPU"
"HPA","Skin 2; melanocytes[≥Medium]","HPA:0470672","false","7.26319361184918e-8","7.138872378881835","639","26","13","11007","SRSF3,SRSF6,SRSF7,SRSF9,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPK,HNRNPM,HNRNPU"
"HPA","Testis; sertoli cells[≥Medium]","HPA:0570802","false","7.56852830351303e-8","7.120988560632089","1865","26","19","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPC,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Skin 1; vascular mural cells[High]","HPA:0461493","false","1.0060290158896264e-7","6.997389493177681","135","26","8","11007","SRSF3,SRSF6,HNRNPA1,HNRNPA2B1,HNRNPH1,HNRNPH2,HNRNPK,HNRNPU"
"HPA","Testis; pachytene spermatocytes[≥Medium]","HPA:0570762","false","1.0624044823125895e-7","6.973710105672295","1901","26","19","11007","U2AF1,U2AF2,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF11,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Fallopian tube; glandular cells[High]","HPA:0210053","false","1.1481298382975164e-7","6.9400089961996665","1648","26","18","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Gallbladder; glandular cells[High]","HPA:0220053","false","1.1893783416427022e-7","6.92467997418608","2868","26","22","11007","U2AF1,U2AF2,RBMX,SRSF1,SRSF2,SRSF3,SRSF6,SRSF8,SRSF9,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPH1,HNRNPH2,HNRNPF,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
"HPA","Esophagus; squamous epithelial cells[High]","HPA:0190223","false","1.2202910833920338e-7","6.913536562085612","1654","26","18","11007","U2AF1,RBMX,SRSF1,SRSF2,SRSF3,SRSF4,SRSF6,SRSF8,SRSF11,HNRNPA1,HNRNPA2B1,HNRNPC,HNRNPD,HNRNPK,HNRNPL,HNRNPM,HNRNPU,HNRNPUL1"
